DATE,COBPPRIV
1988-01-01,567
1988-02-01,1108
1988-03-01,1147
1988-04-01,1276
1988-05-01,1198
1988-06-01,1224
1988-07-01,1161
1988-08-01,1275
1988-09-01,945
1988-10-01,1112
1988-11-01,968
1988-12-01,574
1989-01-01,530
1989-02-01,666
1989-03-01,1115
1989-04-01,798
1989-05-01,1246
1989-06-01,1048
1989-07-01,1069
1989-08-01,1042
1989-09-01,971
1989-10-01,1233
1989-11-01,774
1989-12-01,665
1990-01-01,733
1990-02-01,680
1990-03-01,934
1990-04-01,951
1990-05-01,1273
1990-06-01,1093
1990-07-01,1466
1990-08-01,1160
1990-09-01,853
1990-10-01,964
1990-11-01,780
1990-12-01,681
1991-01-01,609
1991-02-01,718
1991-03-01,1022
1991-04-01,1436
1991-05-01,1432
1991-06-01,1197
1991-07-01,1403
1991-08-01,1243
1991-09-01,1118
1991-10-01,1155
1991-11-01,1026
1991-12-01,1059
1992-01-01,1192
1992-02-01,1472
1992-03-01,1702
1992-04-01,2076
1992-05-01,2068
1992-06-01,1999
1992-07-01,2471
1992-08-01,1776
1992-09-01,2560
1992-10-01,2202
1992-11-01,1395
1992-12-01,1731
1993-01-01,1600
1993-02-01,1966
1993-03-01,2395
1993-04-01,2428
1993-05-01,2120
1993-06-01,3464
1993-07-01,2663
1993-08-01,2949
1993-09-01,2502
1993-10-01,2343
1993-11-01,2302
1993-12-01,2054
1994-01-01,2099
1994-02-01,2327
1994-03-01,3317
1994-04-01,3934
1994-05-01,3312
1994-06-01,3608
1994-07-01,2691
1994-08-01,4044
1994-09-01,3835
1994-10-01,3284
1994-11-01,2227
1994-12-01,2213
1995-01-01,2564
1995-02-01,2216
1995-03-01,2855
1995-04-01,3107
1995-05-01,3373
1995-06-01,4042
1995-07-01,3969
1995-08-01,3622
1995-09-01,3074
1995-10-01,3331
1995-11-01,3749
1995-12-01,4105
1996-01-01,2651
1996-02-01,3706
1996-03-01,3950
1996-04-01,4279
1996-05-01,3581
1996-06-01,4538
1996-07-01,3499
1996-08-01,3373
1996-09-01,3053
1996-10-01,3642
1996-11-01,2624
1996-12-01,3151
1997-01-01,2876
1997-02-01,2696
1997-03-01,3810
1997-04-01,3603
1997-05-01,4492
1997-06-01,3896
1997-07-01,4117
1997-08-01,3896
1997-09-01,3706
1997-10-01,3892
1997-11-01,2317
1997-12-01,3261
1998-01-01,3230
1998-02-01,3030
1998-03-01,3940
1998-04-01,5010
1998-05-01,3871
1998-06-01,5190
1998-07-01,5321
1998-08-01,3896
1998-09-01,4167
1998-10-01,3928
1998-11-01,3151
1998-12-01,3902
1999-01-01,3254
1999-02-01,3242
1999-03-01,4779
1999-04-01,4203
1999-05-01,3875
1999-06-01,4701
1999-07-01,4402
1999-08-01,4219
1999-09-01,4307
1999-10-01,3925
1999-11-01,3759
1999-12-01,3811
2000-01-01,3911
2000-02-01,3658
2000-03-01,4581
2000-04-01,3909
2000-05-01,4149
2000-06-01,3877
2000-07-01,5243
2000-08-01,5768
2000-09-01,4293
2000-10-01,4730
2000-11-01,3884
2000-12-01,4294
2001-01-01,3781
2001-02-01,3817
2001-03-01,4545
2001-04-01,4010
